"CODIGO","CICLO","CLAVE_MATERIA","MATERIA","CALIFICACION","MODALIDAD"
"3","2019-B","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","79","ACREDITADO"
"3","2019-B","I5890","BASES DE DATOS","79","ACREDITADO"
"3","2019-B","I5888","ESTRUCTURAS DE DATOS II","86","ACREDITADO"
"3","2019-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","76","ACREDITADO"
"3","2019-B","I5892","MATEMATICA DISCRETA","60","ACREDITADO"
"3","2019-B","I5893","METODOS MATEMATICOS I","60","ACREDITADO"
"3","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","70","ACREDITADO"
"3","2019-B","I5895","METODOS MATEMATICOS II","85","ACREDITADO"
"3","2019-B","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","63","ACREDITADO"
"3","2019-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","100","ACREDITADO"
"3","2019-B","I5898","INGENIERIA DE SOFTWARE I","79","ACREDITADO"
"3","2019-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","90","ACREDITADO"
"3","2019-B","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","86","ACREDITADO"
"3","2019-B","I5915","TEORIA DE LA COMPUTACION","90","ACREDITADO"
"3","2019-B","I9939","FORMACION ESPECIALIZANTE SELECTIVA","AC","ACREDITADO"
"3","2019-B","I5911","MINERIA DE DATOS","SD","ORDINARIO"
"3","2019-B","I5911","MINERIA DE DATOS","SD","EXTRAORDINARIO"
"3","2019-B","I5909","PROGRAMACION PARA INTERNET","SD","ORDINARIO"
"3","2019-B","I5909","PROGRAMACION PARA INTERNET","SD","EXTRAORDINARIO"
"3","2019-B","I5900","INGENIERIA DE SOFTWARE II","SD","ORDINARIO"
"3","2020-A","I7406","LIDERAZGO","100","ORDINARIO"
"3","2020-A","I5911","MINERIA DE DATOS","60","ORDINARIO"
"3","2020-B","I5901","CONTROL DE PROYECTOS","42","ORDINARIO"
"3","2020-B","I5907","ADMINISTRACION DE REDES","98","ORDINARIO"
"3","2020-B","I5909","PROGRAMACION PARA INTERNET","14","ORDINARIO"
"3","2020-B","I5900","INGENIERIA DE SOFTWARE II","80","ORDINARIO"
"3","2020-B","I5905","SEGURIDAD DE LA INFORMACION","72","ORDINARIO"
"3","2021-A","I5909","PROGRAMACION PARA INTERNET","SD","ORDINARIO"
"3","2021-A","I5909","PROGRAMACION PARA INTERNET","SD","EXTRAORDINARIO"
"3","2021-A","I5902","ADMINISTRACION DE BASES DE DATOS","SD","ORDINARIO"
"3","2021-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","50","EXTRAORDINARIO"
"3","2021-A","I5901","CONTROL DE PROYECTOS","92","ORDINARIO"
"3","2021-A","I5902","ADMINISTRACION DE BASES DE DATOS","SD","EXTRAORDINARIO"
"3","2021-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","50","ORDINARIO"
"3","2021-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","90","ORDINARIO"
"3","2021-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","75","ORDINARIO"
"3","2021-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","60","ORDINARIO"
"3","2021-B","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","80","ORDINARIO"
"3","2021-B","I5902","ADMINISTRACION DE BASES DE DATOS","SD","ORDINARIO"
"3","2021-B","I5902","ADMINISTRACION DE BASES DE DATOS","SD","EXTRAORDINARIO"
"3","2021-B","I5909","PROGRAMACION PARA INTERNET","SD","ORDINARIO"
"3","2021-B","I5909","PROGRAMACION PARA INTERNET","SD","EXTRAORDINARIO"
"3","2022-A","I5908","ADMINISTRACION DE SERVIDORES","SD","EXTRAORDINARIO"
"3","2022-A","I5908","ADMINISTRACION DE SERVIDORES","SD","ORDINARIO"
"3","2022-A","I5909","PROGRAMACION PARA INTERNET","85","ORDINARIO"
"3","2022-A","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","SD","ORDINARIO"
"3","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","SD","ORDINARIO"
"3","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","SD","EXTRAORDINARIO"
"3","2022-B","I5908","ADMINISTRACION DE SERVIDORES","98","ORDINARIO"
"3","2022-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","82","ORDINARIO"
"3","2022-B","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"3","2023-A","IL350","LIDERAZGO Y EMPRENDIMIENTO","95","ORDINARIO"
"4","2019-B","I5892","MATEMATICA DISCRETA","82","ORDINARIO"
"4","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","79","ORDINARIO"
"4","2019-B","I5882","PROGRAMACION","96","ORDINARIO"
"4","2019-B","I5893","METODOS MATEMATICOS I","82","ORDINARIO"
"4","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","91","ORDINARIO"
"4","2020-A","I5915","TEORIA DE LA COMPUTACION","73","ORDINARIO"
"4","2020-A","I5886","ESTRUCTURAS DE DATOS I","88","ORDINARIO"
"4","2020-A","I6123","INTRODUCCION A LA FISICA","90","ORDINARIO"
"4","2020-B","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"4","2020-B","I5895","METODOS MATEMATICOS II","100","ORDINARIO"
"4","2020-B","I5907","ADMINISTRACION DE REDES","100","ORDINARIO"
"4","2020-B","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","96","ORDINARIO"
"4","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","100","ORDINARIO"
"4","2021-A","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"4","2021-A","I5890","BASES DE DATOS","94","ORDINARIO"
"4","2021-A","I5888","ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"4","2021-A","I5884","ALGORITMIA","95","ORDINARIO"
"4","2021-A","I5908","ADMINISTRACION DE SERVIDORES","97","ORDINARIO"
"4","2021-A","I5910","HIPERMEDIA","99","ORDINARIO"
"4","2021-B","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"4","2021-B","I7381","ETICA PROFESIONAL","100","ORDINARIO"
"4","2021-B","I5901","CONTROL DE PROYECTOS","94","ORDINARIO"
"4","2021-B","I5905","SEGURIDAD DE LA INFORMACION","100","ORDINARIO"
"4","2021-B","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","100","ORDINARIO"
"4","2021-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ORDINARIO"
"4","2022-A","I5898","INGENIERIA DE SOFTWARE I","100","ORDINARIO"
"4","2022-A","IL350","LIDERAZGO Y EMPRENDIMIENTO","97","ORDINARIO"
"4","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"4","2022-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"4","2022-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"4","2023-A","I9939","FORMACION ESPECIALIZANTE SELECTIVA","AC","INTERCAMBIO ACADÉMICO"
"4","2023-A","I5911","MINERIA DE DATOS","91","ORDINARIO"
"4","2023-A","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","96","ORDINARIO"
"4","2023-A","I5900","INGENIERIA DE SOFTWARE II","100","ORDINARIO"
"4","2023-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"4","2023-A","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"4","2023-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"4","2023-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"4","2023-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"4","2023-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"4","2023-B","I5912","CLASIFICACION INTELIGENTE DE DATOS","100","ORDINARIO"
"5","2019-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ACREDITADO"
"5","2019-B","I5905","SEGURIDAD DE LA INFORMACION","90","ACREDITADO"
"5","2019-B","I5915","TEORIA DE LA COMPUTACION","100","ACREDITADO"
"5","2019-B","I5882","PROGRAMACION","99","ACREDITADO"
"5","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","100","ACREDITADO"
"5","2019-B","I5884","ALGORITMIA","69","ACREDITADO"
"8","2019-B","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","72","ACREDITADO"
"8","2019-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","95","ACREDITADO"
"8","2019-B","I5898","INGENIERIA DE SOFTWARE I","98","ACREDITADO"
